Sentence,Label
电流麦！电流麦！电流麦！没实体店三十五块钱的耳机好用,0
外形外观：手机外观颜色搭配挺好看，来电声音也挺大适合老人用，给父母用很合适，拍照效果也好，很清晰，，运行速度也还不错，这个是新出的款，配置一般够用，充电也挺快的，而且像我父母相对用的少的话一般都可以用到两到三天！不错。 屏幕音效：屏幕显示效果很好 拍照效果：拍照清晰 满足日常使用 运行速度：新机运行内存快 待机时间：大电池 三天一冲 其他特色：性价比还算可以,2
用了三四台华为了。总的感觉华为高端机还是很不错的。之前用那台P10 plus不小心掉水池里了，修过之后很不稳定。各种小问题层出不穷。所以没有犹豫直接买华为。P系列电池不给力，因此首选MATE。用了几天，感觉电池跟以前一样，能用一天半。充电速度是看得见的快，运行速度也快。一如既往支持华为。,2
有用过的痕迹我就呵呵了。,0
物非所值,1
不错，性价比高，不错一如既往的支持，超级喜欢，主机箱都很有品质，W10专业版，运行流畅，非常满意，必须满分,2
相当好用的一款蓝牙耳机，连接方便，不用装驱动。充满电能用2，3个小时左右。配带也很舒适。这款耳机有音量调节功能，很方便，三击左耳减小音量，三击右耳加大音量。不用再去碰手机或电脑了。音效也不错，重低音比较饱满。够我用了。,2
第1页  联想电脑不愧是中国第一电脑品牌，质量杠杠的，主机 外表美观小巧，用料扎实，质感很强，接口丰富，不必担 心外接设备接口不足。显示器美观大方，方正，还配有 线卡，想得很周到。配置合理，三年内够用了。开机迅 速，运行速度快，显示屏色彩纯正，看着很舒适。我办公 室和家里都是买的联想电脑，坚决支持国产品牌。快递 速度也很快，头天下单，第二天就到货了，外观无损坏。,2
物流好慢6-18买的的手机，结果28才到,1
做工精细，手感摸起来纤细柔软，感觉很好。音质纯正，没有杂音，音效明显，清晰自然。无论是听音乐或者是看节目视频都感觉很舒服，耳朵没有任何的不适感觉。续航能力方面由于刚使用不长时间，还不是很清楚，后续再作评价。总之，物美价廉，合适的购物行为。,2
呵呵,0
指纹解锁不灵！其它还可以，毕竟价钱在这档这,1
拿起手机亮屏这个功能用不了。。。。,0
物美价廉很好用外观不错很满意,1
吃鸡就别用了，听歌还行,1
垃圾东西，才用了一个礼拜一边就没有声音了，音质也不咋滴,0
从新发售就开始关注了，一直等到618，麒麟810处理器。新手机背面好看，体积轻薄，屏幕大内存大，可装好多软件，用起来很流畅不卡顿。价格不贵，很值得购买。外观超级漂亮。看起来很高级1屏幕音效：OlED的屏幕看起来很舒服。效果挺好的而且还有护眼模式。拍照效果很惊艳，自拍美颜效果很满意。8+128的运行速度杠杠的。运行王者。吃鸡都没问题。待机时间一天多吧。玩游戏五六小时都没问题。而且还有华为的超级快充22.5W。妈妈在用不用担心我的手机没电了。哈哈,2
做工质感：还好 音效音质：还可以,1
东西到手了，激动的心颤抖的手打开了，我次奥，傻大黑粗啊哈哈，比起同事一起买的的微星冲锋坦克2proGP75厚了快一倍了，论颜值绝对没法比，好在做工还算精细是大厂的东西。虽然颜值比不过但咱配置高哇！显卡，固态，屏幕都可牛掰了，心里还是平衡的。风扇不开狂暴模式声音很小，开了以后唰唰的，降温很快，满意。这个本性价比很高（想买2070没货呀）！可以愉快的玩耍了。,2
我先生一直想无线买耳机?，对比了多款之后决定选这一款。昨天下单，今天就到货了，京东速度很快。耳机做工很好，拿起来很有质感。音质也是非常不错的，是他想要的效果。耳机塞在耳朵里，很紧实不易掉落，而且舒适。很满意呢～,2
京东物流很快，下单三天就收到了，拿到家安装也很方便，按照之前和客服要的安装说明，很快就安装好了，还做好了简单的调试，就是office安装费力一些，应该是office的问题，但也调试好了，现在用着很好，功能也很强大。再买个音箱就齐全了。,2
音质音效：效果真的很好 ，物流速度快。,2
电脑待机一段时间，开机就开不起来了！质量不行，还有就是用时间长了电脑就有点卡！,1
做工质感：手感很好 音质音效：原厂的就是和外面卖的不一样 其他特色：外包装很精致,2
性能配置：很难想象这是2020年的电脑，虽然是便宜货，但是性能比我2014年4000多买的笔记本还要差，运行Excel时总是不明原因卡死，让人难以接受,0
还行，用用才知道。,1
当初觉得这个牌子的电脑不错，谁知道这个电脑上不能下载文档还要花钱买,0
刚买就降200  接受不了,0
选了好久还是选了这款华为nova5i，用了一段时间了感觉挺好的！系统流畅！拍照也不错，6加128的不玩游戏足够用了，平常就看看视频，拍拍照！为不会玩游戏！外观非常喜欢高大上！屏幕大小合适！在手里的感觉很舒服！非常喜欢！！！！！！！,2
机箱外观：外观很好看，采用银黑两色搭配，很好看。主机小巧，显示器屏幕大，满足了现代人的需求。主机无论是放在桌子上还是桌子下面都不占地方。 性能配置：是一款性价比非常高的机子，公司一次采购了好多台。 散热性能：散热效果也很好。 售后服务：暂无售后。 其他特色：无,2
外形外观：好看。特别好看，超亮的外观。 运行速度：也超快。真好超级超级喜欢。 拍照效果：拍照特别清晰感觉价格还不贵。内存足够宝妈使用。推荐,2
售后服务：发票十天了还没收到,0
听个响，啥都没感受到,0
机箱外观：包装很严实，快递特迅速，服务也到位，综合起来特别的满意，银色也是白搭的办公室喜爱色！ 性能配置：性能的性价比绝对很高，已经很对得起价格了，办公室日常处理用的，已经能够满足全部的需求了。 散热性能：散热没有问题，也没有多大的噪音，满意！ 跑分评测：没有跑分，但是日常办公没有丝毫的卡顿。 售后服务：联想大品牌，售后还是特别信任的。 其他特色：推荐京东购物?，品质有保证，送货有保障！,2
手机还可以，给一星主要是不到半天的时间又降价了八十八块钱，保价还通不过。,0
赠品设置各种条件借口迟迟不肯发货,0
说好的七天无理由退货呐？?,1
做工质感：挺不错， 舒适度：不压耳，可以尝试佩戴。 音质音效：还可以，一个价位都差不多,1
音质音效：一般 有噪音 续航能力：还可以,1
退货后，钱一直不退,0
还行，喜欢它的插口处不易折坏,1
这包装也是无敌了拿到手盒子都烂了,0
回来用了20天，就坏了，充不了电,0
说好的6期免息呢?,1
很不错，但是音控建没用用。,1
外形外观：非常喜欢 拍照效果：棒棒的 运行速度：很快 待机时间：很长 其他特色：用着很爽，薄，轻，快。买的不错。,2
快递给力 使用后再评价,1
华为的手机也就只能做做屏幕和电池了,0
外形外观：好  其他特色：没发现 屏幕音效：感觉  拍照效果：以  待机时间：特别差，4个小时就没电。一天充几次。 运行速度：可以,1
售后服务差极了,0
抠脚，连保护套，手机膜都不送,0
音质一般但一分钱一分货还是值得的,1
手机收到有一段时间了，今天才来评论，确实不错，颜值也高，四摄不是吹的，拍照真的非常清晰，比我用的苹果手机拍的还要好，第一次用的时候下了不少APP，已用了差不一个月了，一点都不卡顿，电池也耐用，非常的好用，个人感觉比苹果好用，非常流畅，支持华为，支持国货。???,2
刚到，还可以,1
用了一段时间了，散热性很好，一整天使用都感觉不到主机发烫，屏幕很清晰，大小合适，用起来很流畅，开机时间也很快，很满意。,2
外观好看，精致。手感很满意，屏幕分辨率挺真，清晰，声音洪亮无杂音，拍照清晰，反应灵敏迅速，支持囯货。,2
在vivoz5和写这个手机之间思考了很久，最终选择买了这款，买回来发现跟我预想的还可以，是千元机里不错的，颜色非常可，运行速度也还是可以的，总体来说还不错，就没有耳机！！！,2
耳机真辣鸡,0
音质差！不像是正品 实话。,0
运行速度：AMD 4600u，只是影音办公，不用来打游戏，肯定够用啦。听说核显能力也是杠杠的，就不下游戏试了，鲁大师跑一下就知道了 屏幕效果：100%色域，很舒服。开合角比高级点的本子要小，大概120度 散热性能：安静，非常安静，前提不要打大型游戏 外形外观：非常漂亮精致，颜色是高级灰，高端大气上档次，满意。 轻薄程度：厚度适中，重量很轻，不超过3斤 其他特色：联想商店很不错，安心把常用软件都安装了。音质也是不错呢，不过好像没低音，是不是怕震坏电脑。跑分29.4万，有网友可以跑过30万，大差不差。,2
想不到刚上市就抢到了！性价比超级好，是最新第十代的，而且是大容量内存16G.又是白色，外观又漂亮！太值了！ 外形外观：白色漂亮 运行速度：超快 性能配置：高,2
稍微有点卡，总体不错，值这个价,1
外形外观： 色差，和展示图片完全不一样，还没送手机膜 屏幕音效：还可以 拍照效果：细致 待机时间：电量消费比较快,1
噪音大，受话方常常抗议,0
一次在网上买组装机，是一次不错的购买，服务态度很好，包装也很结实，连主机里面都用填充物填满了，CPU也用上了海绵保护，真的很细心。CPU风扇看起来很酷~~~刚收到马上装好了，估计运输过程中硬盘线损坏了，换了根之后一次点亮！游戏多开无压力！,2
有点小漏音，还不错,1
外形外观：后盖轻微破损。,0
做工质感：质感很好 线材用的材料手感不错 音质音效：音质的不错 重低音很饱满 声音层次很清晰 舒适度：我戴着没问题 很贴合 有三种大小的入耳胶 适合各种人群 续航能力：有线的就是看你手机的电量了 其他特色：在酷?音乐上可以找到与之相匹配的耳机环境 不错 索尼的耳机之前没有用过 希望这次能给我带来不一样的感觉,2
机箱非常小巧，直接放在桌面上毫无压力，接口非常多，十分方便，噪音也很低，比我的一代小米笔记本都要安静，一体机最大便利就是内置了wifi和蓝牙，不需要外接了，一开始以为没有键盘鼠标，就另外买了一套，结果退了哈哈,2
没送耳机收纳包?,1
电脑不贵，但是整体，十分高大上，运行速度也十分快，安装过程也十分简单，很愉快的一次购物，谢谢卖家提供的优质服务和产品，,2
做工质感：漂亮的不行 其他特色：红色绿色  音质音效：天籁之音 舒适度：不错哦 续航能力：很可以,2
